"No","Test Name","MRP (INR)","Special Price (INR)","Our Price (INR)"
"1005","Metabolic Profile","2750","1375","1375"
"1006","Metamizole- Drug (EIA)","500","250","250"
"1007","Metanephrines ( Plasma )","4200","2100","2100"
"1008","Meth-Haemoglobin, Blood","2000","1000","1000"
"1009","Methionine,Plasma","9000","4500","4500"
"1010","Methotrexate","4200","2100","2100"
"1011","Methylmalonic Acid Qualitative","3000","1500","1500"
"1012","Methylmalonic Acid Quantitative","3500","1750","1750"
"1013","Mf - Qbc","400","200","200"
"1014","Microalbumin - Spot","550","275","275"
"1015","Microalbuminuria, 24 Hrs Urine","600","300","300"
"1016","Microfilaria Antibody","1600","800","800"
"1017","Microfilaria Antigen","1600","800","800"
"1018","Milk Powder (EIA)","500","250","250"
"1019","Mini Fertility Profile","1300","650","650"
"1020","Minimal Fetal Autopsy","3750","1875","1875"
"1021","Moong Dal (EIA)","500","250","250"
"1022","Mosquito- Inhalents (EIA)","500","250","250"
"1023","Mp - Qbc","400","200","200"
"1024","Msud-Maple Syrup Urine Disorder Neonatal Screen","1250","625","625"
"1025","Mucopolysaccharidosis (Qualitative Urine)","1300","650","650"
"1026","Mucor Racemosus (EIA)","500","250","250"
"1027","Mugwort ( Artemisia Vulgaris )- Inhalents (EIA)","500","250","250"
"1028","Multiple Myeloma Advance Maxi Panel","8000","4000","4000"
"1029","Mumps Igg Ab","2000","1000","1000"
"1030","Mumps Igm Ab","2000","1000","1000"
"1031","Mushroom ( Champignons )- Veg (EIA)","500","250","250"
"1032","Musk Antibody","5500","2750","2750"
"1033","Mustard- Veg (EIA)","500","250","250"
"1034","Mutton- Non Veg (EIA)","500","250","250"
"1035","Mx Pcr Fever Profile Maxi","4750","2375","2375"
"1036","Mx PCR Fever profile Maxi","4500","2250","2250"
"1037","Mx Pcr Fever Profile Mini","4200","2100","2100"
"1038","Mx PCR Fever profile MINI","4500","2250","2250"
"1039","Mx Pcr Fever Profile With Covid","5500","2750","2750"
"1040","Mx-Pcr Fever Profile","4750","2375","2375"
"1041","Myasthenia Gravis","12500","6250","6250"
"1042","Mycoplasma Pneumoniae Igg Antibody","3300","1650","1650"
"1043","Mycoplasma Pneumoniae Igm Antibody","3300","1650","1650"
"1044","Myeloma Panel Test","2300","1150","1150"
"1045","Myoglobin - Serum","1600","800","800"
"1046","Myoglobin - Urine","1600","800","800"
"1047","Myositis Profile, Serum(Immunoblot 12 Antigens)","11000","5500","5500"
"1048","Myositis Profile Extended Igg 16 Antigens","17000","8500","8500"
"1049","Nasal Fluid - Sugar","120","60","60"
"1050","Nasal Fluid - Cell Count","280","140","140"
"1051","Nasal Fluid - Protein","280","140","140"
"1052","Nasal Stone Analysis (Rhinolith)","1600","800","800"
"1053","Nasal Swab Culture & Sensitivity","600","300","300"
"1054","Nbs 181 Parameters","8500","4250","4250"
"1055","Nbs Inborn Metabolic Disorders (Imd) Panel (Gc-Ms)","6500","3250","3250"
"1056","Nbs Inborn Metabolic Disorders (Imd) Panel Lcms","6500","3250","3250"
"1057","Neonatal 17-Oh Progesterone","550","275","275"
"1058","Neonatal Cystic Fibrosis","900","450","450"
"1059","Neonatal G6Pd","550","275","275"
"1060","Neonatal Phenyl Ketonuria(Pku)","550","275","275"
"1061","Neonatal Screening 3 Parameter With 17 Oh","1250","625","625"
"1062","Neonatal Screening 3 Parameter With Cystic Fibrosis","1600","800","800"
"1063","Neonatal Total Galactose","550","275","275"
"1064","Neonatal Tsh Screening","550","275","275"
"1065","Neuro Maxi Package","16500","8250","8250"
"1066","Neuron Specific Enolase (Nse)","4750","2375","2375"
"1067","New Born 7 Parameters Screening","2750","1375","1375"
"1068","Newborn Screening 3 Parameters","1100","550","550"
"1069","Ngal (Neutrophil Gelatinase Associated Lipocalin), Urine","9500","4750","4750"
"1070","Nhl Ihc Unlimited Markers","13500","6750","6750"
"1071","Nickel","3750","1875","1875"
"1072","Nicotine Metabolite Serum","2500","1250","1250"
"1073","Nipple Discharge Fnac Single Slide","500","250","250"
"1074","Nipple Discharge Fnac Two Slides","700","350","350"
"1075","Nipple Discharge Left","600","300","300"
"1076","Nipple Discharge Right","600","300","300"
"1077","Nmda Receptor Antibody","8500","4250","4250"
"1078","Nocardia Stain(Kinyoun)","500","250","250"
"1079","Non Veg Allergy Panel (14) - (EIA)","4250","2125","2125"
"1080","Nor Epinephrine - 24Hrs Urine","4600","2300","2300"
"1081","Nor Epinephrine Plasma","5000","2500","2500"
"1082","Norfloxacin- Drug (EIA)","500","250","250"
"1083","Normetanephrine Edta Plasma","4200","2100","2100"
"1084","Norvo Virus Stool Antigen","2500","1250","1250"
"1085","Nt - Pro Bnp ( N-Terminal Natriuretic Peptide)","2750","1375","1375"
"1086","Ntx (Collagen Cross-Linked N- Telopeptide), Urine","5500","2750","2750"
"1087","Nutmeg (EIA)","500","250","250"
"1088","Oat (EIA)","500","250","250"
"1089","Occult Blood Test, Stool","300","150","150"
"1090","Occult Blood Test, Urine","280","140","140"
"1091","Ofloxacin (EIA)","500","250","250"
"1092","Og Antenatal Profile","3500","1750","1750"
"1093","Og Bad Obstertric History","4250","2125","2125"
"1094","Og Fertility Profile Female","2200","1100","1100"
"1095","Og Fertility Profile-Male","2200","1100","1100"
"1096","Og New Born Screening (5 Parameter)","2000","1000","1000"
"1097","Og Pcod Profile","2000","1000","1000"
"1098","Ogtt With 100 Gms 3 Hrs.","400","200","200"
"1099","Oligo Bands For Multiple Sclerosis In Csf","4250","2125","2125"
"1100","Olive Tree (EIA)","500","250","250"
"1101","Olives (EIA)","500","250","250"
"1102","Onion- Veg (EIA)","500","250","250"
"1103","Opiates(Morphine) - Urine","350","175","175"
"1104","Oppertunity Infectious Panel","6500","3250","3250"
"1105","Oral Glucose Challenging Test (Ogct)","200","100","100"
"1106","Orange (EIA)","500","250","250"
"1107","Organic Acid Qualitative Urine Spot","6500","3250","3250"
"1108","Organisms Automated Identification","1000","500","500"
"1109","Osmolality - Serum","1000","500","500"
"1110","Osmolality - Urine","1000","500","500"
"1111","Osmolality ( Amniotic Fluid)","1000","500","500"
"1112","Osmotic Fragillity Test","1200","600","600"
"1113","Osteocalcin Bgp - Bone Gla Protein, Serum","4600","2300","2300"
"1114","Ovarian Antibody ( Aoa)","5200","2600","2600"
"1115","Oxalate - 24 Hrs. Urine","2200","1100","1100"
"1116","Oxalate Creatinine Ratio","2500","1250","1250"
"1117","Oxcarbazepine, Serum","7000","3500","3500"
"1118","P Anca","1700","850","850"
"1119","P Anca - I F Method","3250","1625","1625"
"1120","Pandy Test","250","125","125"
"1121","Pap Smear","400","200","200"
"1122","Pappa A","1250","625","625"
"1123","Paracetamol Acetaminophen Serum","2500","1250","1250"
"1124","Paracetamol- Drug (EIA)","500","250","250"
"1125","Paraneoplastic Syndrome Profile","5750","2875","2875"
"1126","Parietal Cell Antibody","3250","1625","1625"
"1127","Partial Thromboplastin Time Ptt","350","175","175"
"1128","Partial Thromboplastin Time Ptt ( Hemostar 4 Ca)","400","200","200"
"1129","Parvovirus B19 Antibody Igg","4000","2000","2000"
"1130","Parvovirus B19 Antibody Igm","4000","2000","2000"
"1131","Paul Bunnell","900","450","450"
"1132","Pcod Plus","3000","1500","1500"
"1133","Pcod Profile","2750","1375","1375"
"1134","Pcos Profile","3250","1625","1625"
"1135","Pcp Pneumonia","650","325","325"
"1136","Pcv (Blood Bank)","250","125","125"
"1137","Pcv- (Haematocrit)","250","125","125"
"1138","Pea- Veg (EIA)","500","250","250"
"1139","Peach (EIA)","500","250","250"
"1140","Peanut- Veg (EIA)","500","250","250"
"1141","Pear (EIA)","500","250","250"
"1142","Penicillium Notatum- Inhalents (EIA)","500","250","250"
"1143","Penicilum G- Drug (EIA)","500","250","250"
"1144","Penicilum V- Drug (EIA)","500","250","250"
"1145","Penta Screening","5000","2500","2500"
"1146","Pericortial Fluid Analysis","1200","600","600"
"1147","Peripheral Smear Examination","300","150","150"
"1148","Peripheral Smear Examination With Imaging (Madurai)","350","175","175"
"1149","Peritonial Fluid Analysis","1200","600","600"
"1150","Pfa Serum (Hit Antibody Heparin Included Thrombocytopenia)","7000","3500","3500"
"1151","Ph ( Blood Bank)","150","75","75"
"1152","Phadiatop","2500","1250","1250"
"1153","Phadiatop (Infant/ Paediatric)","2500","1250","1250"
"1154","Ph-Body Fluid","150","75","75"
"1155","Phenacetin (EIA)","500","250","250"
"1156","Phenylketonurea ( Urine Spot - Qualitative)","1600","800","800"
"1157","Phosphatidylserine Antibodies Panel Igg & Igm","5000","2500","2500"
"1158","Phospholipase A2 Receptor Antibody (Pla2R) Quantitative","6000","3000","3000"
"1159","Phosphorus ( Spot )","250","125","125"
"1160","Phosphorus - 24 Hrs Urine","450","225","225"
"1161","Phosphorus (Amniotic Fluid)","280","140","140"
"1162","Phosphorus (Serum)","250","125","125"
"1163","Pineapple- Veg (EIA)","500","250","250"
"1164","Pituitary Hormones Profile","9000","4500","4500"
"1165","Platelet Count","220","110","110"
"1166","Platelet Count ( Blood Bank)","300","150","150"
"1167","Pleural Fluid Analysis Basic","1000","500","500"
"1168","Pleural Fluid Analysis Complete","1200","600","600"
"1169","Plgf (Placental Growth Factor)","2700","1350","1350"
"1170","Pneumocystis Jiroveci For Smear","500","250","250"
"1171","Poppy Seed (EIA)","500","250","250"
"1172","Pork- Non Veg (EIA)","500","250","250"
"1173","Post Ejaculation Urinalysis (Peu)","500","250","250"
"1174","Potassium ( Fluid)","280","140","140"
"1175","Potassium (Amniotic Fluid)","280","140","140"
"1176","Potassium, Serum","280","140","140"
"1177","Potassium, Urine 24H","450","225","225"
"1178","Potassium, Urine Spot","350","175","175"
"1179","Potato (EIA)","500","250","250"
"1180","Pregnancy Oral Glucose 100Gms","350","175","175"
"1181","Procalcitonin, Serum","3000","1500","1500"
"1182","Progesterone","550","275","275"
"1183","Progesterone (Animal)","550","275","275"
"1184","Progesterone P4 (Clia)","550","275","275"
"1185","Prolactin PRL (CLIA)","450","225","225"
"1186","Prolactin, Active & Macroprolactin Serum","1600","800","800"
"1187","Prolactin, Serum","450","225","225"
"1188","Prostatic Cancer Marker","2200","1100","1100"
"1189","Protein - 24 Hrs. Urine","450","225","225"
"1190","Protein - Ascitic Fluid","280","140","140"
"1191","Protein - Body Fluid","280","140","140"
"1192","Protein - Peritonial Fluid","280","140","140"
"1193","Protein - Synovial Fluid","280","140","140"
"1194","Protein ( Pleural Fluid )","280","140","140"
"1195","Protein ( Spot Urine )","280","140","140"
"1196","Protein A/G Ratio","450","225","225"
"1197","Protein C(Citrated Plasma)","3300","1650","1650"
"1198","Protein Electrophoresis - Serum","1400","700","700"
"1199","Protein Electrophoresis - Urine","1100","550","550"
"1200","Protein S ( Citrated Plasma )","3300","1650","1650"
"1201","Protein S Activity, Plasma","5200","2600","2600"
"1202","Prothrombin Time","300","150","150"
"1203","Prothrombin Time ( Hemostar 4 Ca)","350","175","175"
"1204","Prothrombin Time (Pt) Blood Bank","350","175","175"
"1205","Psa - Immunohistochemistry","1650","825","825"
"1206","Psa Profile(Free + Total)","1250","625","625"
"1207","Psa-Prostate Specific Antigen- Total, Serum","650","325","325"
"1208","Psuedo Cholinesterase","1500","750","750"
"1209","Pth-Para Thyroid Hormone (Intact Molecule), Serum","1600","800","800"
"1210","Ptt & Mixing Studies - Plasma","450","225","225"
"1211","Pumkin- Veg (EIA)","500","250","250"
"1212","Pus Culture & Sensitivity","600","300","300"
"1213","Pus Culture With Automated Identification & Antibiogram","850","425","425"
"1214","Pyrozolone- Drug (EIA)","500","250","250"
"1215","Pyruvate","1700","850","850"
"1216","Quadruple marker (Prisca)","3500","1750","1750"
"1217","Quadruple Screening","2850","1425","1425"
"1218","Quadruple Screening with Scan","3500","1750","1750"
"1219","R V V T (Russel Viper Venom Test)","1500","750","750"
"1220","Rabbit Meat- Non Veg (EIA)","500","250","250"
"1221","Rabies Virus Antibodies Total Antibody","5500","2750","2750"
"1222","Rajma Dal- Veg (EIA)","500","250","250"
"1223","Ratio Aldosterone Renin","4250","2125","2125"
"1224","Rbc Count","180","90","90"
"1225","Rbc Count ( Blood Bank)","180","90","90"
"1226","Rbc Folate","3100","1550","1550"
"1227","Recurrent Pregnancy Loss Work Up (Biochemical Panel)","11000","5500","5500"
"1228","Reducing Substance - Urine","200","100","100"
"1229","Reducing Substances - Stool","200","100","100"
"1230","Reed Common (EIA)","500","250","250"
"1231","Renal Function Test Mini","550","275","275"
"1232","Renal Function Test Profile","1200","600","600"
"1233","Renal Stone Analysis","1600","800","800"
"1234","Renin (Plasma)","2600","1300","1300"
"1235","Renin Activity (Plasma )","7000","3500","3500"
"1236","Reticulocyte Count","400","200","200"
"1237","Rh Antibody Titre","750","375","375"
"1238","Rheumatoid Arthritis Profile","2750","1375","1375"
"1239","Rheumatoid Factor","550","275","275"
"1240","Rice (EIA)","500","250","250"
"1241","Roma (Ca 125 + He4)","2400","1200","1200"
"1242","Root Canal Swab For Culture And Sensitivity","850","425","425"
"1243","Rough Pigweed (EIA)","500","250","250"
"1244","Rpr - Vdrl","350","175","175"
"1245","Rubella Igg - Avidity Test","3100","1550","1550"
"1246","Rubella Igg ( Elisa )","700","350","350"
"1247","Rubella Igm","700","350","350"
"1248","Rye (EIA)","500","250","250"
"1249","Rye Grass (EIA)","500","250","250"
"1250","S - 100","1600","800","800"
"1251","S.Phenytoin","1100","550","550"
"1252","Saa-Serum Amyloid A Protein","6000","3000","3000"
"1253","Salivary Calculium","1500","750","750"
"1254","Salmon (EIA)","500","250","250"
"1255","Sap Iso Enzymes-1 (Alkaline Phosphatase Isoenzymes Electrophoresis - Serum)","7500","3750","3750"
"1256","Screening For Inborn Errors Of Metabolism (Plsma)","7000","3500","3500"
"1257","Scrub Typhus Ig M","1700","850","850"
"1258","Semen Analysis (Processed In Rot)","350","175","175"
"1259","Semen Analysis - Automated (Processed In Chennai)","1100","550","550"
"1260","Semen Culture","650","325","325"
"1261","Serology (Hiv/Hbsag/Hcv)","2300","1150","1150"
"1262","Serum Anti Endomysial Igg Igm Iga","6000","3000","3000"
"1263","Serum Ascites Albumin Gradient (Saag)","1100","550","550"
"1264","Serum Erythropoietin Assay","2750","1375","1375"
"1265","Serum Oxalate Level","2750","1375","1375"
"1266","Serum Phenobarbitone Level","1750","875","875"
"1267","Serum Selenium","4500","2250","2250"
"1268","Sex Hormone Binding Globulin","2500","1250","1250"
"1269","Sflt -Soluble Fms -Like Tyrosine Kinase-1","5600","2800","2800"
"1270","Sflt-1 / Pigf Ratio.","8000","4000","4000"
"1271","Sgot (Ast), Serum","180","90","90"
"1272","Sgpt (Alt), Serum","180","90","90"
"1273","Sheepwool- Inhalents (EIA)","500","250","250"
"1274","Sickling Test","400","200","200"
"1275","Silk (EIA)","500","250","250"
"1276","Silver Birch ( Betula Verrucosa )- Inhalents (EIA)","500","250","250"
"1277","Sle (Systemic Lupus Erythematosus) Profile","5000","2500","2500"
"1278","Slide / Block For Opinion","850","425","425"
"1279","Slides & Blocks For Review 6 To 10 Nos","2000","1000","1000"
"1280","Slides & Blocks For Review More Than 10 Nos","3000","1500","1500"
"1281","Slides & Blocks For Review Upto 5 Nos","900","450","450"
"1282","Slides For Review 6 To 10 Slides","1350","675","675"
"1283","Slides For Review More Than 10 Slides","3000","1500","1500"
"1284","Slides For Review Upto 5 Slides","900","450","450"
"1285","Slite Skin Smear For Leprabacilli","900","450","450"
"1286","Smear For Fungus","400","200","200"
"1287","Smear For Mf","400","200","200"
"1288","Smear For Mp","400","200","200"
"1289","Smear For Parasite ( Buffy Coat Of Wucherria Ban Crofti)","600","300","300"
"1290","Smoke (EIA)","500","250","250"
"1291","Sodium ( 24 Hrs Urine )","440","220","220"
"1292","Sodium ( Spot Urine )","220","110","110"
"1293","Sodium (Amniotic Fluid)","280","140","140"
"1294","Sodium (Fluid)","280","140","140"
"1295","Sodium , Serum","220","110","110"
"1296","Soluble Transferrin Receptor (Stfr)","2500","1250","1250"
"1297","Soy Bean- Veg (EIA)","500","250","250"
"1298","Special Stain","650","325","325"
"1299","Special Stain Biopsy","650","325","325"
"1300","Specific Gravity - Urine","170","85","85"
"1301","Specific Gravity Fluid","170","85","85"
"1302","Spinach (EIA)","500","250","250"
"1303","Sputum Culture & Sensitivity","600","300","300"
"1304","Sputum For Cytology","800","400","400"
"1305","Sputum For Eosinophilis","350","175","175"
"1306","Squash Cytology Large","2200","1100","1100"
"1307","Squash Cytology Small","1700","850","850"
"1308","Ssa - Ro ( Soluble Substance A Antibody, Serum )","2000","1000","1000"
"1309","Ssb - La ( Soluble Substance B Antibody, Serum )","2000","1000","1000"
"1310","Staining For Pcp","650","325","325"
"1311","Staining Pas","650","325","325"
"1312","Stent - Culture & Sensitivity with MIC","1000","500","500"
"1313","Stone Analysis - Vesical Calculus","1650","825","825"
"1314","Stone Analysis - Renal (Automated)","2500","1250","1250"
"1315","Stone Screening Profile 1","2500","1250","1250"
"1316","Stool - Culture","600","300","300"
"1317","Stool Culture With Automated Identification & Antibiogram","850","425","425"
"1318","Stool For Clostriduom Difficile Toxin","2750","1375","1375"
"1319","Stool For Cryptosporidium","170","85","85"
"1320","Stool For Enterohmorrhagic E.Coli","3250","1625","1625"
"1321","Stool Routine","200","100","100"
"1322","Straw Dust (EIA)","500","250","250"
"1323","Strawberry- Veg (EIA)","500","250","250"
"1324","Strepromycin- Drug (EIA)","500","250","250"
"1325","Stroke Package - Maxi","16500","8250","8250"
"1326","Stroke Package Mini","9500","4750","4750"
"1327","Succinylcholine (EIA)","500","250","250"
"1328","Sucroselysis Test (Serum & Blood )","1650","825","825"
"1329","Sudan Ii For Fat","330","165","165"
"1330","Sulpha (EIA)","2200","1100","1100"
"1331","Suputum Culture With Automated Identification & Antibiogram","850","425","425"
"1332","Surveillance Settle Plate - Open Plate Test","550","275","275"
"1333","Surveillance Swabs Aerobic - (1 Sample)","300","150","150"
"1334","Surveillance Swabs Aerobic - (2 Samples)","600","300","300"
"1335","Surveillance Swabs Aerobic - (3 Samples)","900","450","450"
"1336","Surveillance Swabs Aerobic - (4 Samples)","1200","600","600"
"1337","Surveillance Swabs Aerobic - 1 (5 Samples)","1500","750","750"
"1338","Surveillance Swabs Aerobic - 2 ( 10 Sample)","3000","1500","1500"
"1339","Surveillance Swabs Anaerobic - ( 1 Sample)","300","150","150"
"1340","Surveillance Swabs Anaerobic - ( 2 Sample)","600","300","300"
"1341","Surveillance Swabs Anaerobic - ( 3 Sample)","900","450","450"
"1342","Surveillance Swabs Anaerobic - ( 4 Sample)","1200","600","600"
"1343","Surveillance Swabs Anaerobic - 1( 5 Samples)","1500","750","750"
"1344","Surveillance Swabs Anaerobic - 2 ( 10 Sample)","4000","2000","2000"
"1345","Swab Cath Lab","550","275","275"
"1346","Swab Cssd","550","275","275"
"1347","Swab Dialysis Unit","550","275","275"
"1348","Swab Dressing Room","550","275","275"
"1349","Swab Embryology Operation Theatre","550","275","275"
"1350","Swab Emergency Room","550","275","275"
"1351","Swab Endoscopy Room","550","275","275"
"1352","Swab Eye Operation Theatre","550","275","275"
"1353","Swab General Ward","550","275","275"
"1354","Swab Icu","550","275","275"
"1355","Swab Ivf Operation Theatre","550","275","275"
"1356","Swab Labour Ward","550","275","275"
"1357","Swab Lasik Operation Theatre","550","275","275"
"1358","Swab Main Operation Theatre","550","275","275"
"1359","Swab Major Operation Theatre","550","275","275"
"1360","Swab Micu","550","275","275"
"1361","Swab Minor Operation Theatre","550","275","275"
"1362","Swab Nicu","550","275","275"
"1363","Swab Operation Theatre","550","275","275"
"1364","Swab Ortho Operation Theatre","550","275","275"
"1365","Swab Pediatric Ward","550","275","275"
"1366","Swab Post Operative Ward","550","275","275"
"1367","Swab Post Operative Ward 1","550","275","275"
"1368","Swab Post Operative Ward 2","550","275","275"
"1369","Swab Retina Operation Theatre","550","275","275"
"1370","Swab Semi Icu","550","275","275"
"1371","Synovial / Joint Fluid Analysis And Cytology","880","440","440"
"1372","Synovial / Joint Fluid Cytology (Pus)","880","440","440"
"1373","Synovial Fluid By Polarizing Microscopy","2000","1000","1000"
"1374","Synovial Fluid For Crystals","300","150","150"
"1375","Tacrolimus Blood Level","5000","2500","2500"
"1376","Tb Quantiferon Gold","2750","1375","1375"
"1377","Tea (EIA)","500","250","250"
"1378","Testosterone ( Animal )","600","300","300"
"1379","Testosterone (Total), Serum","660","330","330"
"1380","Testosterone Lh Ratio For (Animal)","1100","550","550"
"1381","Testosterone Total (Clia)","600","300","300"
"1382","Tetanus Toxoid (EIA)","500","250","250"
"1383","Tetracycline (EIA)","500","250","250"
"1384","Tetrazine (EIA)","500","250","250"
"1385","Tgl - Ascitic Fluid","450","225","225"
"1386","Thallium","4500","2250","2250"
"1387","Theophyline","2500","1250","1250"
"1388","Throat Swab Culture & Sensitivity","600","300","300"
"1389","Throat Swab Culture With Automated Identification & Antibiogram","900","450","450"
"1390","Thrombin Time ( Tt)","1100","550","550"
"1391","Thrombocheck Total","22500","11250","11250"
"1392","Thrombophilia Package","18000","9000","9000"
"1393","Thrombophilia Profile (Kle)","16000","8000","8000"
"1394","Thrombopillia Comprehensive Profile","17500","8750","8750"
"1395","Thrombopillia Profile (Ngl)","15000","7500","7500"
"1396","Thyroglobulin, Serum","1100","550","550"
"1397","Thyroid Antibodies-Atab","1600","800","800"
"1398","Thyroid Function Test - Free","450","225","225"
"1399","Thyroid Function Test - Total","350","175","175"
"1400","Thyroid Peroxidase Antibody (Tpo)","1100","550","550"
"1401","Thyroid Profile","700","350","350"
"1402","Thyroid stimulating hormone TSH (CLIA)","170","85","85"
"1403","Thyroxine Binding Globulin,Serum","7500","3750","3750"
"1404","Thyroxine T4(CLIA)","170","85","85"
"1405","Tibc- Iron Binding Capacity-Total , Serum","450","225","225"
"1406","Timothy - Inhalents (EIA)","500","250","250"
"1407","Tissue Transglutaminase (Ttg) Antibody-Iga,Serum","2200","1100","1100"
"1408","Tissue Transglutaminase Igg Antibody","1500","750","750"
"1409","Tissue Transglutaminase Igm Antibody","1500","750","750"
"1410","Tomato (EIA)","500","250","250"
"1411","Torch Igg","1500","750","750"
"1412","Torch Igm","1500","750","750"
"1413","Torch Panel","3000","1500","1500"
"1414","Total Cholesterol","200","100","100"
"1415","Total Ige, Serum","550","275","275"
"1416","Total Lipids","550","275","275"
"1417","Total Protein (Serum)","220","110","110"
"1418","Total T3","180","90","90"
"1419","Total T4","180","90","90"
"1420","Total Wbc Count (Tc )","200","100","100"
"1421","Toxoplasma Avidity","2000","1000","1000"
"1422","Toxoplasma-Igg, Serum","700","350","350"
"1423","Toxoplasma-Igm, Serum","700","350","350"
"1424","Transferrin","1000","500","500"
"1425","Transferrin Saturation","1000","500","500"
"1426","Trans-Tubular Potassium Gradient ( Ttkg )","2000","1000","1000"
"1427","Treponema Pallidum Antibody","750","375","375"
"1428","Trichophyton Rubrum","450","225","225"
"1429","Trichophyton Rubrum- Drug (EIA)","500","250","250"
"1430","Tricyclic Antidepressants Drug (Tca) Qualitative, Urine","1350","675","675"
"1431","Triglycerides","200","100","100"
"1432","Triglycerides - Body Fluid","250","125","125"
"1433","Triiodothyronine T3(CLIA)","170","85","85"
"1434","Trimethoprim- Drug (EIA)","500","250","250"
"1435","Triple marker (Prisca)","2500","1250","1250"
"1436","Triple Screening","2000","1000","1000"
"1437","Triple Screening with scan","3250","1625","1625"
"1438","Troponin - T ( Quantitative )","2000","1000","1000"
"1439","Troponin I - High sensitive","2800","1400","1400"
"1440","Troponin I Quantitative","2000","1000","1000"
"1441","Troponin I Qualitative","1250","625","625"
"1442","Troponin T (Card)","1300","650","650"
"1443","Tsh","180","90","90"
"1444","Tsh - Receptor Antibody","4500","2250","2250"
"1445","Tube Test Widal","400","200","200"
"1446","Tumor Marker - Female","5600","2800","2800"
"1447","Tumor Marker - Male","4200","2100","2100"
"1448","Tumour Necrosis Factor (Tnf) - Alpha","5250","2625","2625"
"1449","Tuna- Non Veg (EIA)","500","250","250"
"1450","Turkey- Non Veg (EIA)","500","250","250"
"1451","Tv / Moniliasis","350","175","175"
"1452","Typhi Dot Igg","750","375","375"
"1453","Typhi Dot Igm, Serum","750","375","375"
"1454","U1Rnp (Mixed Connective Tissue)","2250","1125","1125"
"1455","Uibc, Serum","180","90","90"
"1456","Up To 5 - Slide And Block Issue","550","275","275"
"1457","Urad Dal (EIA)","500","250","250"
"1458","Urea - 24 Hrs Urine","350","175","175"
"1459","Urea - Ascitic Fluid","280","140","140"
"1460","Urea - Body Fluid","280","140","140"
"1461","Urea ( Spot Urine )","180","90","90"
"1462","Urea (Amniotic Fluid)","280","140","140"
"1463","Uric Acid - 24 Hrs Urine","350","175","175"
"1464","Uric Acid (Amniotic Fluid)","280","140","140"
"1465","Uric Acid, Serum","280","140","140"
"1466","Uric Acid-Spot Urine","220","110","110"
"1467","Urine Analysis - Complete","170","85","85"
"1468","Urine Culture & Sensitivity","550","275","275"
"1469","Urine Culture With Automated Identification & Antibiogram","850","425","425"
"1470","Urine Drug Of Abuse (Nicotine)","600","300","300"
"1471","Urine Element Analysis Profile","3750","1875","1875"
"1472","Urine For Chylomicron (Qualitative)","1200","600","600"
"1473","Urine For Cytology","800","400","400"
"1474","Urine For Fat Globules","200","100","100"
"1475","Urine For Hemosiderin","1300","650","650"
"1476","Urine For Protein/Creatinine Ratio","450","225","225"
"1477","Urine For Sodium/Creatnine Ratio","450","225","225"
"1478","Urine For Tgl","280","140","140"
"1479","Urine Fractional Excretion Of Sodium (Fena)","1100","550","550"
"1480","Urine Glucose (F)","60","30","30"
"1481","Urine Glucose (Post -Dinner)","60","30","30"
"1482","Urine Glucose (Post -Lunch)","60","30","30"
"1483","Urine Glucose (Pp)","60","30","30"
"1484","Urine Glucose (Pre -Dinner)","60","30","30"
"1485","Urine Glucose (Pre-Lunch)","60","30","30"
"1486","Urine Glucose (R)","60","30","30"
"1487","Urine Gravindex","180","90","90"
"1488","Urine Haemoglobinuria","180","90","90"
"1489","Urine Metanephrine (Random)","3250","1625","1625"
"1490","Urine Nbs Analysis 223 Metabolites Profile","8500","4250","4250"
"1491","Urine Porphobilinogen ( Qualitative )","3500","1750","1750"
"1492","Urine Potassium /Creatinine Ratio","450","225","225"
"1493","Urobilinogen","200","100","100"
"1494","Uv Efficacy Against Bacterial Pathogens","1000","500","500"
"1495","Vaginal Smear Examination","350","175","175"
"1496","Vaginal Swab For Culture And Sensitivity","700","350","350"
"1497","Vaginal Swab For Fungus Culture","900","450","450"
"1498","Valporic Acid","1100","550","550"
"1499","Vasculitis Profile","8000","4000","4000"
"1500","Veg Allergy Maxi Panel (20 Allergens)","15500","7750","7750"
"1501","Veg Allergy Mini Panel (10 Allergens)","8000","4000","4000"
"1502","Veg Allergy Panel (33) - (EIA)","9500","4750","4750"
"1503","Vericella Zoster Igg","2000","1000","1000"
"1504","Vericella Zoster Igm","2000","1000","1000"
"1505","Vgkc (K+ Channel Receptor)","9500","4750","4750"
"1506","Vitamin A","5850","2925","2925"
"1507","Vitamin B 1 ( Thiamine)","5200","2600","2600"
"1508","Vitamin B12","900","450","450"
"1509","Vitamin B12 (Clia)","900","450","450"
"1510","Vitamin B2(Riboflavin)","5000","2500","2500"
"1511","Vitamin B3/Nicotinic Acid","2000","1000","1000"
"1512","Vitamin B5/ Pantothenic","2000","1000","1000"
"1513","Vitamin B6 (Pyridoxine)","5000","2500","2500"
"1514","Vitamin B7/Biotin","2000","1000","1000"
"1515","Vitamin C(Ascorbic Acid)","5000","2500","2500"
"1516","Vitamin D (Clia)","1400","700","700"
"1517","Vitamin D (D2/D3/Total D)","5600","2800","2800"
"1518","Vitamin D Total ( 25 Oh Vitamin D)","1400","700","700"
"1519","Vitamin D2","2500","1250","1250"
"1520","Vitamin D3 - 1,25-Dihydroxy","3750","1875","1875"
