"No","Test Name","MRP (INR)","Special Price (INR)","Our Price (INR)"
"151","Allergy Peach - Veg (Immunocap/FEIA)","1000","500","500"
"152","Allergy Peanut - Veg (Immunocap/FEIA)","1000","500","500"
"153","Allergy Pear - Veg (Immunocap/FEIA)","1000","500","500"
"154","Allergy Penicillium Chrysogenum - Inhalant (Immunocap/FEIA)","1000","500","500"
"155","Allergy Pineapple - Veg (Immunocap/FEIA)","1000","500","500"
"156","Allergy Pomegranate - Veg (Immunocap/FEIA)","1000","500","500"
"157","Allergy Pork - Non Veg (Immunocap/FEIA)","1000","500","500"
"158","Allergy Potato - Veg (Immunocap/FEIA)","1000","500","500"
"159","Allergy Regweed - Inhalant (Immunocap/FEIA)","1000","500","500"
"160","Allergy Rice - Veg (Immunocap/FEIA)","1000","500","500"
"161","Allergy Screening Tryptase","3500","1750","1750"
"162","Allergy Sesame Seed - Veg (Immunocap/FEIA)","1000","500","500"
"163","Allergy Soyabean - Veg (Immunocap/FEIA)","1000","500","500"
"164","Allergy Spinach - Veg (Immunocap/FEIA)","1000","500","500"
"165","Allergy Starch Panel (3 Allergens)","2500","1250","1250"
"166","Allergy Strawberry - Veg (Immunocap/FEIA)","1000","500","500"
"167","Allergy Test For Chocolate, Serum","1000","500","500"
"168","Allergy Test For Paracetamol","1000","500","500"
"169","Allergy Timothy - Inhalant (Immunocap/FEIA)","1000","500","500"
"170","Allergy Tomato - Veg (Immunocap/FEIA)","1000","500","500"
"171","Allergy Vegetable Panel (11 Allergen)","9000","4500","4500"
"172","Allergy Walnut - Veg (Immunocap/FEIA)","1000","500","500"
"173","Allergy: 107 Allergens","6500","3250","3250"
"174","Almond- Veg (EIA)","500","250","250"
"175","Alpha 1 Antitrypsin, Serum","3000","1500","1500"
"176","Alpha Feto Protein (Afp), Serum","850","425","425"
"177","Alpha Feto Protein (Afp), Serum (Triple)","1000","500","500"
"178","Alpha Lacto Globulin (EIA)","500","250","250"
"179","Alternaria Alternate (EIA)","500","250","250"
"180","Amacr (Alpha-Methylacyl-Coa Racemase/P5045)","4500","2250","2250"
"181","Amenorrhoea Profile","2250","1125","1125"
"182","AMH ( Anti mullerian hormone) - Elisa","1250","625","625"
"183","Amh + Panel","3500","1750","1750"
"184","Amino Acid Profile Urine","7750","3875","3875"
"185","Amino Acid Quantitative Plasma","8000","4000","4000"
"186","Amino Levulinic Acid Ala (Quantitative), Urine Spot","6500","3250","3250"
"187","Ammonia","1200","600","600"
"188","Amoebic Serology Igg, Serum","2500","1250","1250"
"189","Amoxicillin- Drug (EIA)","500","250","250"
"190","Ampicillin- Drug (EIA)","500","250","250"
"191","Amylase - Ascitic Fluid","550","275","275"
"192","Amylase - Peritonial Fluid","550","275","275"
"193","Amylase ( Pleural Fluid )","550","275","275"
"194","Amylase (Spot Urine)","550","275","275"
"195","Amylase, Body Fluid","550","275","275"
"196","Amylase, Serum","550","275","275"
"197","Ana Profile (17 Antigen)","5000","2500","2500"
"198","Ana Profile (25 Antigen)","5500","2750","2750"
"199","Ana Reflex To Ena Profile","6000","3000","3000"
"200","Anaerobic Culture","1600","800","800"
"201","Analgin (EIA)","500","250","250"
"202","Anca Profile (Immunoblot), Serum","3750","1875","1875"
"203","Androgen receptor","4500","2250","2250"
"204","Androstenedione, Serum","3500","1750","1750"
"205","Anemia Profile","2500","1250","1250"
"206","Angiotensin Converting Enzyme (Ace), Serum","1750","875","875"
"207","Anti Intrinstic Antibody","3100","1550","1550"
"208","Anti - Jo Antibody, Serum","2200","1100","1100"
"209","Anti Aquaporin 4 Antibody (Neuromyelitis Optica / Transverse Myelitis), Serum Ifa","5000","2500","2500"
"210","Anti Aquaporine 4 Antibody ( Eia)","2200","1100","1100"
"211","Anti B Antibody Titre","2900","1450","1450"
"212","Anti Ccp, Serum","1500","750","750"
"213","Anti Centromere Ab, Serum","2200","1100","1100"
"214","Anti Complement Factor H","7500","3750","3750"
"215","Anti Cysticercosis-Igg","2450","1225","1225"
"216","Anti Diuretic Hormone (Adh) (Vasopressin), Edta","7000","3500","3500"
"217","Anti Ds Dna","1100","550","550"
"218","Anti Ds-Dna Antibody - Ifa (Qualitative)","2750","1375","1375"
"219","Anti Factor X A Assay","7000","3500","3500"
"220","Anti Glomerular Basement Membrane Ab - Igg, Serum","3000","1500","1500"
"221","Anti Hav - Igg","1000","500","500"
"222","Anti Hav - Igm","1000","500","500"
"223","Anti Hav Total","1000","500","500"
"224","Anti Hbc - Igm","1000","500","500"
"225","Anti Hbc Ab - Total","1000","500","500"
"226","Anti Hbe","1000","500","500"
"227","Anti Hbs","1000","500","500"
"228","Anti Hbs (Cmia Method)","2200","1100","1100"
"229","Anti Hdv-Total Antibodies To Hepatitis Delta Virus","6500","3250","3250"
"230","Anti Histone Antibody","3000","1500","1500"
"231","Anti Intinsic Factor Antibody","3500","1750","1750"
"232","Anti Mag Antibodies","7000","3500","3500"
"233","Anti Mitochondrial Antibody","1600","800","800"
"234","Anti Mog ( Myelin Oligodendrocyte Glucoprotein) ( Eia )","2250","1125","1125"
"235","Anti Mog (Myelin Oligodendrocyte Glycoprotein) Ifa","7250","3625","3625"
"236","Anti Mog + Anti Nmo /Aquaporine 4 Antibody ( Eia )","3750","1875","1875"
"237","Anti Mullerian Hormone ( Amh ) By Eclia","1500","750","750"
"238","Anti -Nmo/Aquaporin -4 + Anti Mog Ifa","9000","4500","4500"
"239","Anti Nuclear Anti Body - (Ana) Ifa","1250","625","625"
"240","Anti Nuclear Antibody (Ana) ( Clia )","800","400","400"
"241","Anti Phospholipid - Igg Igm","2000","1000","1000"
"242","Anti Phospholipid Ab - Igg","1000","500","500"
"243","Anti Phospholipid Ab - Igm","1000","500","500"
"244","Anti Smith Antibody","2900","1450","1450"
"245","Anti Smooth Muscle Antibody (Asma), Serum","3750","1875","1875"
"246","Anti Soluble Liver Antigen Sla","2500","1250","1250"
"247","Anti Sperm Antibody (Asab), Serum","1250","625","625"
"248","Anti Thrombin Iii, Serum","2700","1350","1350"
"249","Anti Thyroglobulin - Serum","1100","550","550"
"250","Anti Topisomerase A B","2000","1000","1000"
"251","Apla Syndrome Profile","4750","2375","2375"
"252","Aplar2 Antibody (Anti Pla2R)","6000","3000","3000"
"253","Apolipoproteins A1 (Apo-A1)","650","325","325"
"254","Apolipoproteins B (Apo-B)","650","325","325"
"255","Apple- Veg (EIA)","500","250","250"
"256","Arsenic","3500","1750","1750"
"257","Asca Iga-Anti Saceharomyces Cerevisiae Antibody","4000","2000","2000"
"258","Asca Igg-Anti Saceharomyces Cerevisiae Antibody","4000","2000","2000"
"259","Aso Titre Quantification","700","350","350"
"260","Asparagus (EIA)","500","250","250"
"261","Aspergilles Specific (Serum) Igg","2400","1200","1200"
"262","Aspergillus Antibody","2500","1250","1250"
"263","Aspergillus Fumigates- Inhalents (EIA)","500","250","250"
"264","Aspergillus Fumigatus For Ige","1100","550","550"
"265","Aspergillus Galactomannan Assay","5500","2750","2750"
"266","Aspergillus Igm Antibody","2650","1325","1325"
"267","Aspergillus Specific Ige","2000","1000","1000"
"268","Aspirin- Drug (EIA)","500","250","250"
"269","Autoimmune Encephalitis Profile","20000","10000","10000"
"270","Autoimmune Hepatitis Panel","5500","2750","2750"
"271","Autoimmune Hepatitis Panel 1","6000","3000","3000"
"272","Automated Identification And Mic","1250","625","625"
"273","Autopsy Large Biopsy","3000","1500","1500"
"274","Bacterial Culture For Fluid","1000","500","500"
"275","Bacterial Culture, Tissue","1000","500","500"
"276","Baker'S Yeast (EIA)","500","250","250"
"277","Banana- Veg (EIA)","500","250","250"
"278","Barbiturate - Urine","1650","825","825"
"279","Barley (EIA)","500","250","250"
"280","Bcl6 In Endometrial Biopsy By Ihc","7000","3500","3500"
"281","Beans- Veg (EIA)","500","250","250"
"282","Beef- Non Veg (EIA)","500","250","250"
"283","Beet Root- Veg (EIA)","500","250","250"
"284","Bence Jones Protein( Spot Urine )","200","100","100"
"285","Benzodiazapine (Qualitative), Urine","1400","700","700"
"286","Benzodiazapine Quantitative In (Urine)","11000","5500","5500"
"287","Benzodiazepines - Urine Screening Qualitative","1500","750","750"
"288","Bermuda Grass- Inhalents (EIA)","500","250","250"
"289","Beta 2 Glycoprotein Iga","1450","725","725"
"290","Beta 2 Glycoprotein Igg","1450","725","725"
"291","Beta 2 Glycoprotein Igm","1450","725","725"
"292","Beta 2 Microglobulin","1800","900","900"
"293","Beta 2 Microglobulin (Amniotic Fluid)","1800","900","900"
"294","Beta Crosslaps; Beta Ctx; Collagen Type 1C-Telopeptide","2500","1250","1250"
"295","Beta HCG (CLIA)","400","200","200"
"296","Beta Hcg, Serum","400","200","200"
"297","Beta Lactoglobulin (EIA)","500","250","250"
"298","Bicarbonate (24 Hrs. Urine)","550","275","275"
"299","Bicarbonate (Hco3), Serum","450","225","225"
"300","Bile Acids Serum","2200","1100","1100"
"301","Bile Pigments ( Urine )","150","75","75"
"302","Bile Pigments (Body Fluid)","220","110","110"
"303","Bile Salt (Body Fluid)","300","150","150"
"304","Bile Salts ( Urine )","150","75","75"
"305","Bilirubin (Total)- Body Fluid","150","75","75"
"306","Bilirubin (Total) Serum","150","75","75"
"307","Bilirubin Direct, Serum","150","75","75"
"308","Bilirubin Indirect, Serum","150","75","75"
"309","Bilirubin(Total/Direct/Indirect)","300","150","150"
"310","Bioavailable Testosterone","3250","1625","1625"
"311","Biopsy Large","1600","800","800"
"312","Biopsy Medium","1100","550","550"
"313","Biopsy Small","600","300","300"
"314","Biopsy Emergency","1750","875","875"
"315","Biopsy Extra Large Specimen","2200","1100","1100"
"316","Biopsy Medium 2 Small Container","1250","625","625"
"317","Biopsy More Than Extra Large","3750","1875","1875"
"318","Biopsy Slide For (Second Opinion)","600","300","300"
"319","Biotidinase ( Dbs)","550","275","275"
"320","Biotinidase Quantitative","8600","4300","4300"
"321","Black Pepper- Veg (EIA)","500","250","250"
"322","Bleeding Disorder Panel","5000","2500","2500"
"323","Bleeding Time (Bt)","70","35","35"
"324","Block And Slide Return 1 To 3 Blocks","400","200","200"
"325","Block And Slide Return 4 To 5 Blocks","750","375","375"
"326","Block For Review 6 To 10 Blocks","1650","825","825"
"327","Block For Review More Than 10 Blocks","3000","1500","1500"
"328","Block For Review Upto 5 Blocks","1100","550","550"
"329","Block Preparation","600","300","300"
"330","Blocks And Slides Return Above 5 Blocks","750","375","375"
"331","Blomia Tropicalis- Inhalents (EIA)","500","250","250"
"332","Blood Culture Aerobic (Bact/Alert 3D With Automated Identification & Antibiogram)","1000","500","500"
"333","Blood Grouping And Rh Test","350","175","175"
"334","Blood Urea","180","90","90"
"335","Blood-Urine - Tms And Gcms","15000","7500","7500"
"336","Bnp (B Type Natriuretic Peptide)","3000","1500","1500"
"337","Body Fluid - Bicarbonate ( Hco3)","550","275","275"
"338","Body Fluid - Magnesium ( Mg)","550","275","275"
"339","Body Fluid - Adenosine Deaminase (Ada)","1000","500","500"
"340","Body Fluid - Afp","900","450","450"
"341","Body Fluid - Beta Hcg","450","225","225"
"342","Body Fluid - Ca 125","1000","500","500"
"343","Body Fluid - Ca 19.9","1300","650","650"
"344","Body Fluid - Globulin","300","150","150"
"345","Body Fluid - Lipase","1100","550","550"
"346","Body Fluid Alkaline Phosphatase","350","175","175"
"347","Body Fluid Chyle","400","200","200"
"348","Body Fluids - Cell Count","280","140","140"
"349","Body Fluids - Chloride","280","140","140"
"350","Body Fluids - Differential Count","220","110","110"
"351","Body Fluids - Sugar","120","60","60"
"352","Boh Basic Panel","4250","2125","2125"
"353","Boh Basic Panel1","4750","2375","2375"
"354","Bone Marrow Smear Examination And Cytochemistry","1100","550","550"
"355","Bone Marrow Small Biopsy","850","425","425"
"356","Bone Marrow Study","1100","550","550"
"357","Bone Mineral Profile","2800","1400","1400"
"358","Bordetella Pertussis Igg Antibodies Quantitative By Eia - Serum","4250","2125","2125"
"359","Brinjal/Egg Plant / Aubergine- Veg (EIA)","500","250","250"
"360","Brucella Antibody","1950","975","975"
"361","Brucella Igg Antibody","1600","800","800"
"362","Brucella Igm Antibody","1600","800","800"
"363","Brufen ( Ibuprofen )- Drug (EIA)","500","250","250"
"364","Bt And Ct","150","75","75"
"365","Budgerigar Feathers (EIA)","500","250","250"
"366","Bun - Blood Urea Nitrogen, Serum","220","110","110"
"367","Bun/Creatinine Ratio","550","275","275"
"368","Butter (EIA)","500","250","250"
"369","C - Peptide - Fasting","1000","500","500"
"370","C - Peptide - Pp","1000","500","500"
"371","C - Peptide - Random","1000","500","500"
"372","C Anca - Elisa, Serum","1800","900","900"
"373","C Anca - If Immunofluorescence Method, Serum","3250","1625","1625"
"374","C1 Esterase Inhibitor","5750","2875","2875"
"375","C3 - Compliment 3, Serum","900","450","450"
"376","C4 - Complement 4, Serum","900","450","450"
"377","Ca-125","900","450","450"
"378","Ca-15.3","1250","625","625"
"379","Ca-19.9","1350","675","675"
"380","Ca-27.29","10500","5250","5250"
"381","Ca-72.4","3000","1500","1500"
"382","Cabbage- Veg (EIA)","500","250","250"
"383","Calcitonin","2100","1050","1050"
"384","Calcium - 24 Hrs Urine","450","225","225"
"385","Calcium ( Spot Urine )","350","175","175"
"386","Calcium (Amniotic Fluid)","350","175","175"
"387","Calcium Creatinine Ratio - Urine Spot","550","275","275"
"388","Calcium, Serum","350","175","175"
"389","Calprotectin - Stool ( Clia )","3250","1625","1625"
"390","Cancer Screening Test For Female","3000","1500","1500"
"391","Cancer Screening Test For Male","3000","1500","1500"
"392","Candida Albicans- Inhalents (EIA)","500","250","250"
"393","Cango Red 1","650","325","325"
"394","Caraway (Jeera) (EIA)","500","250","250"
"395","Carbamazepine","1100","550","550"
"396","Cardamom- Veg (EIA)","500","250","250"
"397","Cardiac Marker Test","3500","1750","1750"
"398","Cardiolipin Antibody - Iga, Serum","1000","500","500"
"399","Cardiolipin Antibody - Igg Igm","1900","950","950"
"400","Cardiolipin Antibody - Igg, Serum","1000","500","500"
"401","Cardiolipin Antibody - Igm, Serum","1000","500","500"
"402","Carrier Screening (Dmd, Sma, Frigile X, Thalaseemia, Sickle Cell, Cystic)","22500","11250","11250"
"403","Carrot (EIA)","500","250","250"
"404","Casein (EIA)","500","250","250"
"405","Cashew Nut (EIA)","500","250","250"
"406","Cat Epithelium- Inhalents (EIA)","500","250","250"
"407","Catecholamine (Adrenaline And Non-Adrenaline) Plasma","9000","4500","4500"
"408","Cd 1A (Pan T -Cell Marker)","2750","1375","1375"
"409","Cd 27 Prognostic Markers ( Lymphoma )","1450","725","725"
"410","Cd 5","2750","1375","1375"
"411","Cd 7 Prognostic Markers ( Lymphoma )","1650","825","825"
"412","Cd 99","1650","825","825"
"413","Cd11B (Myeloid Marker)","3500","1750","1750"
"414","Cd138","1650","825","825"
"415","Cd2","2750","1375","1375"
"416","Cd38","2750","1375","1375"
"417","Cea-Carcino Embryonic Antigen- Body Fluid","950","475","475"
"418","Cea-Carcino Embryonic Antigen, Serum","950","475","475"
"419","Cefaclor- Drug (EIA)","500","250","250"
"420","Cefactor","500","250","250"
"421","Celeriac/Celery (EIA)","500","250","250"
"422","Cell Block","600","300","300"
"423","Cell Count (Ascitic Fluid)","300","150","150"
"424","Cell Count, Csf","300","150","150"
"425","Cephalexin (EIA)","500","250","250"
"426","Cephalosproin C- Drug (EIA)","500","250","250"
"427","Ceruloplasmin - Serum","1100","550","550"
"428","Cervical Swab Culture And Sensitivity","550","275","275"
"429","Ch-50 (Complement, Total),","5000","2500","2500"
"430","Cheddar Cheese (EIA)","500","250","250"
"431","Chick Pea (Channa Dal) - Veg (EIA)","500","250","250"
"432","Chicken Feathers- Inhalents (EIA)","500","250","250"
"433","Chicken- Non Veg (EIA)","500","250","250"
"434","Chikungunya Igg Antibody","1350","675","675"
"435","Chikungunya Igg (Elisa)","1100","550","550"
"436","Chikungunya Igm ( Elisa)","1100","550","550"
"437","Chikungunya Igm (Immunochromatography)","700","350","350"
"438","Chilli Pepper (EIA)","500","250","250"
"439","Chlamydia Iga, Serum","2750","1375","1375"
"440","Chlamydia Igg, Serum","2750","1375","1375"
"441","Chlamydia Igm","2750","1375","1375"
"442","Chlamydia Trachimatis Antibody (Igm)","2750","1375","1375"
"443","Chlamydia Trachomatis (Cat)","1750","875","875"
"444","Chloride ( 24 Hrs Urine )","550","275","275"
"445","Chloride ( Fluid)","280","140","140"
"446","Chloride ( Spot Urine )","280","140","140"
"447","Chloride (Amniotic Fluid)","280","140","140"
"448","Chloride, Serum","280","140","140"
"449","Chloroquine (EIA)","500","250","250"
"450","Chocolate- Veg (EIA)","500","250","250"
"451","Cholesterol - Total, Body Fluid","280","140","140"
"452","Chromium","5000","2500","2500"
"453","Chromium - Serum","5500","2750","2750"
"454","Chromium - Urine","4500","2250","2250"
"455","Chromogranin - A","4500","2250","2250"
"456","Chyle","550","275","275"
"457","Chylomicron ( Body fluid)","1200","600","600"
"458","Ciprofloxacin- Drug (EIA)","500","250","250"
"459","Cladosporium Herbarum (EIA)","500","250","250"
"460","Clotting Time","70","35","35"
"461","Cloves (EIA)","500","250","250"
"462","Clozapine, Serum","6000","3000","3000"
"463","CLPD - NHL BASIC","10000","5000","5000"
"464","Cmv (Cytomegalovirus) - Igg","750","375","375"
"465","Cmv (Cytomegalovirus) - Igm","750","375","375"
"466","Cmv Igg Avidity Test","3000","1500","1500"
"467","Coagulant Panel","11000","5500","5500"
"468","Coagulation Profile - Maxi","12750","6375","6375"
"469","Coagulation Profile - Mini","500","250","250"
"470","Cocks Foot (Orchard Grass) (EIA)","500","250","250"
"471","Cocoa (EIA)","500","250","250"
"472","Coconut (EIA)","500","250","250"
"473","Coconut Milk (EIA)","500","250","250"
"474","Coffee (EIA)","500","250","250"
"475","Cold Aggulutinin","750","375","375"
